,barcode,create_time,el_no,result
0,2192,1550239206.4016776,Line1,1
1,502191,1550239210.201066,Line2,0
2,2193,1550239221.4037962,Line1,1
3,502192,1550239225.2045069,Line2,1
4,2194,1550239236.4133396,Line1,1
5,502193,1550239240.213768,Line2,1
6,2195,1550239251.4183452,Line1,0
7,502194,1550239255.215522,Line2,0
8,502195,1550239270.2193496,Line2,1
9,2196,1550239266.421036,Line1,0
10,502196,1550239285.231717,Line2,1
11,2197,1550239281.4281738,Line1,1
12,502197,1550239300.2713873,Line2,1
13,2198,1550239296.4416726,Line1,0
14,2199,1550239311.4478476,Line1,1
15,502198,1550239315.2810388,Line2,0
16,2200,1550239326.4503405,Line1,1
17,502199,1550239330.2812603,Line2,1
18,2201,1550239341.4517157,Line1,1
19,502200,1550239345.2833588,Line2,0
20,2202,1550239356.46028,Line1,1
21,502201,1550239360.2912521,Line2,0
22,502202,1550239375.3064275,Line2,1
23,2203,1550239371.4696722,Line1,0
24,502203,1550239390.3113494,Line2,1
25,2204,1550239386.4805925,Line1,0
26,502204,1550239405.3146324,Line2,1
27,2205,1550239401.5011294,Line1,0
28,502205,1550239420.3168778,Line2,0
29,2206,1550239416.517437,Line1,1
30,502206,1550239435.3195086,Line2,1
31,2207,1550239431.5235198,Line1,1
32,502207,1550239450.3270748,Line2,1
33,2208,1550239446.5286107,Line1,1
34,2209,1550239461.5335798,Line1,1
35,502208,1550239465.3329618,Line2,1
36,2210,1550239476.544797,Line1,1
37,502209,1550239480.345093,Line2,1
38,2211,1550239491.5530856,Line1,1
39,502210,1550239495.3525822,Line2,1
40,502211,1550239510.355307,Line2,1
41,2212,1550239506.5559692,Line1,0
42,502212,1550239525.3631275,Line2,1
43,2213,1550239521.56654,Line1,1
44,2214,1550239536.5722444,Line1,1
45,502213,1550239540.3863227,Line2,1
46,2215,1550239551.583066,Line1,1
47,502214,1550239555.3970711,Line2,1
48,2216,1550239566.5903263,Line1,1
49,502215,1550239570.4043984,Line2,1
50,2217,1550239581.596611,Line1,1
51,502216,1550239585.4081216,Line2,1
52,2218,1550239596.6032777,Line1,1
53,502217,1550239600.419294,Line2,1
54,2219,1550239611.6127143,Line1,1
55,502218,1550239615.441119,Line2,1
56,2220,1550239626.6193488,Line1,1
57,502219,1550239630.450024,Line2,0
58,2221,1550239641.6266756,Line1,1
59,2222,1550239656.649986,Line1,1
60,502220,1550239645.456693,Line2,0
61,502221,1550239660.4615667,Line2,1
62,2223,1550239671.651504,Line1,1
63,502222,1550239675.465247,Line2,1
64,2224,1550239686.6595695,Line1,1
65,502223,1550239690.4745166,Line2,1
66,2225,1550239701.668132,Line1,1
67,502224,1550239705.4819298,Line2,1
68,502225,1550239720.4887764,Line2,1
69,2226,1550239716.6746626,Line1,0
70,502226,1550239735.4996493,Line2,1
71,2227,1550239731.6858132,Line1,1
72,502227,1550239750.5090694,Line2,1
73,2228,1550239746.70965,Line1,0
74,502228,1550239765.510993,Line2,1
75,2229,1550239761.7136922,Line1,1
76,2230,1550239776.7367811,Line1,1
77,502229,1550239780.518441,Line2,1
78,2231,1550239791.7567174,Line1,1
79,502230,1550239795.5264895,Line2,1
80,502231,1550239810.5338595,Line2,1
81,2232,1550239806.7665534,Line1,0
82,502232,1550239825.5399015,Line2,1
83,2233,1550239821.7715406,Line1,1
84,2234,1550239836.7845225,Line1,1
85,502233,1550239840.5517478,Line2,1
86,2235,1550239851.7914758,Line1,1
87,502234,1550239855.5584013,Line2,1
88,2236,1550239866.800422,Line1,1
89,502235,1550239870.5675893,Line2,1
90,2237,1550239881.8010907,Line1,1
91,502236,1550239885.5828433,Line2,1
92,2238,1550239896.80855,Line1,1
93,502237,1550239900.5923207,Line2,1
94,2239,1550239911.817761,Line1,1
95,502238,1550239915.5995233,Line2,1
96,2240,1550239926.8224716,Line1,1
97,502239,1550239930.6062157,Line2,1
98,2241,1550239941.829673,Line1,1
99,502240,1550239945.6134622,Line2,1
100,2242,1550239956.8387737,Line1,1
101,502241,1550239960.6225448,Line2,1
102,2243,1550239971.8538272,Line1,1
103,502242,1550239975.6229203,Line2,1
104,2244,1550239986.8618383,Line1,1
105,502243,1550239990.6291084,Line2,1
106,2245,1550240001.8692925,Line1,1
107,502244,1550240005.6379485,Line2,1
108,2246,1550240016.8767276,Line1,1
109,502245,1550240020.6450236,Line2,1
110,2247,1550240031.8871088,Line1,0
111,502246,1550240035.6530354,Line2,0
112,2248,1550240046.8874838,Line1,1
113,502247,1550240050.6576355,Line2,1
114,502248,1550240065.664434,Line2,1
115,2249,1550240061.8952682,Line1,0
116,2250,1550240076.906306,Line1,1
117,502249,1550240080.6746745,Line2,0
118,2251,1550240091.9218726,Line1,1
119,502250,1550240095.675042,Line2,1
120,2252,1550240106.9307272,Line1,1
121,502251,1550240110.683351,Line2,0
122,502252,1550240125.6946082,Line2,1
123,2253,1550240121.9376194,Line1,0
124,502253,1550240140.695912,Line2,1
125,2254,1550240136.9441166,Line1,1
126,2255,1550240151.9491818,Line1,1
127,502254,1550240155.7016277,Line2,1
128,2256,1550240166.9583428,Line1,1
129,502255,1550240170.710034,Line2,1
130,2257,1550240181.968608,Line1,1
131,502256,1550240185.721133,Line2,1
132,2258,1550240196.9778998,Line1,1
133,502257,1550240200.7295182,Line2,1
134,502258,1550240215.736494,Line2,1
135,2259,1550240211.9848928,Line1,0
136,502259,1550240230.7366867,Line2,1
137,2260,1550240226.999529,Line1,1
138,2261,1550240242.0086527,Line1,1
139,502260,1550240245.7456172,Line2,1
140,2262,1550240257.031321,Line1,0
141,502261,1550240260.7524087,Line2,0
142,502262,1550240275.7660687,Line2,1
143,2263,1550240272.0444486,Line1,0
144,2264,1550240287.0518136,Line1,1
145,502263,1550240290.7735238,Line2,0
146,502264,1550240305.7833283,Line2,1
147,2265,1550240302.0640962,Line1,0
148,502265,1550240320.794857,Line2,1
149,2266,1550240317.0755563,Line1,1
150,502266,1550240335.7970834,Line2,1
151,2267,1550240332.090411,Line1,0
152,2268,1550240347.0916674,Line1,1
153,502267,1550240350.7977233,Line2,0
154,2269,1550240362.098756,Line1,1
155,502268,1550240365.8036344,Line2,1
156,2270,1550240377.1055071,Line1,1
157,502269,1550240380.811319,Line2,1
158,2271,1550240392.1164296,Line1,1
159,502270,1550240395.8220544,Line2,1
160,502271,1550240410.8326101,Line2,1
161,2272,1550240407.1258788,Line1,0
162,502272,1550240425.845044,Line2,1
163,2273,1550240422.1556778,Line1,1
164,502273,1550240440.8598516,Line2,1
165,2274,1550240437.2938578,Line1,0
166,502274,1550240455.8749602,Line2,1
167,2275,1550240452.3105714,Line1,1
168,2276,1550240467.3169296,Line1,1
169,502275,1550240470.877892,Line2,0
170,2277,1550240482.3185842,Line1,1
171,502276,1550240485.8839881,Line2,1
172,2278,1550240497.3284853,Line1,1
173,502277,1550240500.8927324,Line2,1
174,2279,1550240512.3293874,Line1,1
175,502278,1550240515.8988712,Line2,1
176,2280,1550240527.3440692,Line1,1
177,502279,1550240530.9093056,Line2,0
178,2281,1550240542.3506305,Line1,1
179,502280,1550240545.9191725,Line2,1
180,2282,1550240557.3563416,Line1,1
181,502281,1550240560.921501,Line2,1
182,2283,1550240572.3635285,Line1,1
183,502282,1550240575.9277692,Line2,0
184,2284,1550240587.369931,Line1,1
185,502283,1550240590.9343944,Line2,1
186,2285,1550240602.3714147,Line1,1
187,502284,1550240605.9366598,Line2,1
188,2286,1550240617.3798494,Line1,1
189,502285,1550240620.9448805,Line2,1
190,2287,1550240632.3887541,Line1,1
191,502286,1550240635.95291,Line2,1
192,2288,1550240647.3959334,Line1,1
193,502287,1550240650.9602036,Line2,0
194,2289,1550240662.4015818,Line1,1
195,502288,1550240665.9630523,Line2,1
196,502289,1550240680.9711406,Line2,1
197,2290,1550240677.4060867,Line1,0
198,502290,1550240695.9838412,Line2,1
199,2291,1550240692.418475,Line1,1
200,2292,1550240707.4261897,Line1,1
201,502291,1550240710.991455,Line2,1
202,2293,1550240722.4345548,Line1,1
203,502292,1550240725.9961483,Line2,1
204,502293,1550240741.0035188,Line2,1
205,2294,1550240737.4393177,Line1,0
206,502294,1550240756.01646,Line2,1
207,2295,1550240752.4511576,Line1,1
208,2296,1550240767.4573636,Line1,1
209,502295,1550240771.0225015,Line2,0
210,2297,1550240782.463239,Line1,1
211,502296,1550240786.0286326,Line2,1
212,2298,1550240797.4720235,Line1,0
213,502297,1550240801.0684266,Line2,0
214,2299,1550240812.4866083,Line1,1
215,2300,1550240827.4881434,Line1,1
216,502298,1550240816.0801902,Line2,0
217,502299,1550240831.0835853,Line2,0
218,2301,1550240842.4958715,Line1,0
219,502300,1550240846.092256,Line2,1
220,502301,1550240861.0924723,Line2,1
221,2302,1550240857.5079784,Line1,1
222,2303,1550240872.5220056,Line1,1
223,2304,1550240887.5281155,Line1,1
224,502302,1550240876.101835,Line2,0
225,502303,1550240891.1090815,Line2,1
226,502304,1550240906.1159656,Line2,1
227,2305,1550240902.5352523,Line1,0
228,502305,1550240921.1220195,Line2,1
229,2306,1550240917.5432453,Line1,1
230,2307,1550240932.5482967,Line1,1
231,502306,1550240936.128003,Line2,1
232,2308,1550240947.5555892,Line1,1
233,502307,1550240951.136386,Line2,1
234,2309,1550240962.565015,Line1,1
235,502308,1550240966.1456797,Line2,1
236,2310,1550240977.5720835,Line1,1
237,502309,1550240981.1534534,Line2,1
238,2311,1550240992.5810225,Line1,1
239,502310,1550240996.1627028,Line2,1
240,2312,1550241007.58805,Line1,1
241,502311,1550241011.1677678,Line2,1
242,2313,1550241022.5963073,Line1,1
243,502312,1550241026.168333,Line2,1
244,2314,1550241037.6116498,Line1,1
245,502313,1550241041.1758394,Line2,1
246,2315,1550241052.6200335,Line1,1
247,502314,1550241056.183926,Line2,1
248,2316,1550241067.627734,Line1,1
249,502315,1550241071.191898,Line2,0
250,2317,1550241082.6331792,Line1,1
251,502316,1550241086.198629,Line2,1
252,2318,1550241097.6406991,Line1,1
253,502317,1550241101.204823,Line2,1
254,2319,1550241112.647187,Line1,1
255,502318,1550241116.2111025,Line2,1
256,2320,1550241127.6531403,Line1,1
257,502319,1550241131.2174323,Line2,1
