,AI_result,OP_result,barcode,create_time,el_no
0,1,1,2192,1550239206.4016776,Line1
1,0,0,502191,1550239210.201066,Line2
2,1,1,2193,1550239221.4037962,Line1
3,1,1,502192,1550239225.2045069,Line2
4,1,1,2194,1550239236.4133396,Line1
5,1,1,502193,1550239240.213768,Line2
6,0,0,2195,1550239251.4183452,Line1
7,0,0,502194,1550239255.215522,Line2
8,1,1,502195,1550239270.2193496,Line2
9,0,0,2196,1550239266.421036,Line1
10,1,1,502196,1550239285.231717,Line2
11,1,1,2197,1550239281.4281738,Line1
12,1,1,502197,1550239300.2713873,Line2
13,0,0,2198,1550239296.4416726,Line1
14,1,1,2199,1550239311.4478476,Line1
15,0,0,502198,1550239315.2810388,Line2
16,1,1,2200,1550239326.4503405,Line1
17,1,1,502199,1550239330.2812603,Line2
18,1,1,2201,1550239341.4517157,Line1
19,0,0,502200,1550239345.2833588,Line2
20,1,1,2202,1550239356.46028,Line1
21,0,0,502201,1550239360.2912521,Line2
22,1,1,502202,1550239375.3064275,Line2
23,0,0,2203,1550239371.4696722,Line1
24,1,1,502203,1550239390.3113494,Line2
25,0,0,2204,1550239386.4805925,Line1
26,1,1,502204,1550239405.3146324,Line2
27,0,0,2205,1550239401.5011294,Line1
28,0,0,502205,1550239420.3168778,Line2
29,1,1,2206,1550239416.517437,Line1
30,1,1,502206,1550239435.3195086,Line2
31,1,1,2207,1550239431.5235198,Line1
32,1,1,502207,1550239450.3270748,Line2
33,1,1,2208,1550239446.5286107,Line1
34,1,1,2209,1550239461.5335798,Line1
35,1,1,502208,1550239465.3329618,Line2
36,1,1,2210,1550239476.544797,Line1
37,1,1,502209,1550239480.345093,Line2
38,1,1,2211,1550239491.5530856,Line1
39,1,1,502210,1550239495.3525822,Line2
40,1,1,502211,1550239510.355307,Line2
41,0,0,2212,1550239506.5559692,Line1
42,1,1,502212,1550239525.3631275,Line2
43,1,1,2213,1550239521.56654,Line1
44,1,1,2214,1550239536.5722444,Line1
45,1,1,502213,1550239540.3863227,Line2
46,1,1,2215,1550239551.583066,Line1
47,1,1,502214,1550239555.3970711,Line2
48,1,1,2216,1550239566.5903263,Line1
49,1,1,502215,1550239570.4043984,Line2
50,1,1,2217,1550239581.596611,Line1
51,1,1,502216,1550239585.4081216,Line2
52,1,1,2218,1550239596.6032777,Line1
53,1,1,502217,1550239600.419294,Line2
54,1,1,2219,1550239611.6127143,Line1
55,1,1,502218,1550239615.441119,Line2
56,1,1,2220,1550239626.6193488,Line1
57,0,0,502219,1550239630.450024,Line2
58,1,1,2221,1550239641.6266756,Line1
59,1,1,2222,1550239656.649986,Line1
60,0,0,502220,1550239645.456693,Line2
61,1,1,502221,1550239660.4615667,Line2
62,1,1,2223,1550239671.651504,Line1
63,1,1,502222,1550239675.465247,Line2
64,1,1,2224,1550239686.6595695,Line1
65,1,1,502223,1550239690.4745166,Line2
66,1,1,2225,1550239701.668132,Line1
67,1,1,502224,1550239705.4819298,Line2
68,1,1,502225,1550239720.4887764,Line2
69,0,0,2226,1550239716.6746626,Line1
70,1,1,502226,1550239735.4996493,Line2
71,1,1,2227,1550239731.6858132,Line1
72,1,1,502227,1550239750.5090694,Line2
73,0,0,2228,1550239746.70965,Line1
74,1,1,502228,1550239765.510993,Line2
75,1,1,2229,1550239761.7136922,Line1
76,1,1,2230,1550239776.7367811,Line1
77,1,1,502229,1550239780.518441,Line2
78,1,1,2231,1550239791.7567174,Line1
79,1,1,502230,1550239795.5264895,Line2
80,1,1,502231,1550239810.5338595,Line2
81,0,0,2232,1550239806.7665534,Line1
82,1,1,502232,1550239825.5399015,Line2
83,1,1,2233,1550239821.7715406,Line1
84,1,1,2234,1550239836.7845225,Line1
85,1,1,502233,1550239840.5517478,Line2
86,1,1,2235,1550239851.7914758,Line1
87,1,1,502234,1550239855.5584013,Line2
88,1,1,2236,1550239866.800422,Line1
89,1,1,502235,1550239870.5675893,Line2
90,1,1,2237,1550239881.8010907,Line1
91,1,1,502236,1550239885.5828433,Line2
92,1,1,2238,1550239896.80855,Line1
93,1,1,502237,1550239900.5923207,Line2
94,1,1,2239,1550239911.817761,Line1
95,1,1,502238,1550239915.5995233,Line2
96,1,1,2240,1550239926.8224716,Line1
97,1,1,502239,1550239930.6062157,Line2
98,1,1,2241,1550239941.829673,Line1
99,1,1,502240,1550239945.6134622,Line2
100,1,1,2242,1550239956.8387737,Line1
101,1,1,502241,1550239960.6225448,Line2
102,1,1,2243,1550239971.8538272,Line1
103,1,1,502242,1550239975.6229203,Line2
104,1,1,2244,1550239986.8618383,Line1
105,1,1,502243,1550239990.6291084,Line2
106,1,1,2245,1550240001.8692925,Line1
107,1,1,502244,1550240005.6379485,Line2
108,1,1,2246,1550240016.8767276,Line1
109,1,1,502245,1550240020.6450236,Line2
110,0,0,2247,1550240031.8871088,Line1
111,0,0,502246,1550240035.6530354,Line2
112,1,1,2248,1550240046.8874838,Line1
113,1,1,502247,1550240050.6576355,Line2
114,1,1,502248,1550240065.664434,Line2
115,0,0,2249,1550240061.8952682,Line1
116,1,1,2250,1550240076.906306,Line1
117,0,0,502249,1550240080.6746745,Line2
118,1,1,2251,1550240091.9218726,Line1
119,1,1,502250,1550240095.675042,Line2
120,1,1,2252,1550240106.9307272,Line1
121,0,0,502251,1550240110.683351,Line2
122,1,1,502252,1550240125.6946082,Line2
123,0,0,2253,1550240121.9376194,Line1
124,1,1,502253,1550240140.695912,Line2
125,1,1,2254,1550240136.9441166,Line1
126,1,1,2255,1550240151.9491818,Line1
127,1,1,502254,1550240155.7016277,Line2
128,1,1,2256,1550240166.9583428,Line1
129,1,1,502255,1550240170.710034,Line2
130,1,1,2257,1550240181.968608,Line1
131,1,1,502256,1550240185.721133,Line2
132,1,1,2258,1550240196.9778998,Line1
133,1,1,502257,1550240200.7295182,Line2
134,1,1,502258,1550240215.736494,Line2
135,0,0,2259,1550240211.9848928,Line1
136,1,1,502259,1550240230.7366867,Line2
137,1,1,2260,1550240226.999529,Line1
